xflr5 v6.46

 Calculated polar for: CA2013 GAP1%a50%

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 12.250, 2.3329, 0.04982, 0.04457,-0.2577,0.4480,0.9970,-3.7471, 0.0000, 0.3307
 12.500, 2.3298, 0.05153, 0.04639,-0.2542,0.4432,0.9970,-3.8404, 0.0000, 0.3287
 12.750, 2.3368, 0.05249, 0.04742,-0.2519,0.4382,0.9970,-3.9684, 0.0000, 0.3267
 13.000, 2.2947, 0.05782, 0.05296,-0.2451,0.4324,0.9970,-3.9290, 0.0000, 0.3250
 13.250, 2.2944, 0.05961, 0.05484,-0.2426,0.4267,0.9970,-4.0326, 0.0000, 0.3232
 13.500, 2.3106, 0.05974, 0.05499,-0.2414,0.4205,0.9970,-4.2135, 0.0000, 0.3212
 13.750, 2.2855, 0.06428, 0.05967,-0.2374,0.4138,0.9970,-4.2444, 0.0000, 0.3199
 14.000, 2.2569, 0.06959, 0.06513,-0.2338,0.4067,0.9970,-4.2561, 0.0000, 0.3188
 14.250, 2.2348, 0.07448, 0.07014,-0.2311,0.3993,0.9970,-4.2988, 0.0000, 0.3178
 14.500, 2.2127, 0.07955, 0.07533,-0.2288,0.3916,0.9970,-4.3405, 0.0000, 0.3170
 14.750, 2.1881, 0.08515, 0.08104,-0.2267,0.3836,0.9970,-4.3663, 0.0000, 0.3164
 15.000, 2.1609, 0.09126, 0.08727,-0.2249,0.3755,0.9970,-4.3756, 0.0000, 0.3161
 15.250, 2.1399, 0.09671, 0.09282,-0.2236,0.3675,0.9970,-4.4147, 0.0000, 0.3157
 15.500, 2.1257, 0.10132, 0.09753,-0.2226,0.3594,0.9970,-4.4899, 0.0000, 0.3152
 15.750, 2.1215, 0.10460, 0.10088,-0.2220,0.3512,0.9970,-4.6207, 0.0000, 0.3144
 16.000, 2.1215, 0.10731, 0.10365,-0.2214,0.3428,0.9970,-4.7766, 0.0000, 0.3133
 16.250, 2.1245, 0.10957, 0.10595,-0.2209,0.3338,0.9970,-4.9521, 0.0000, 0.3121
 16.500, 2.1027, 0.11553, 0.11203,-0.2207,0.3243,0.9970,-4.9770, 0.0000, 0.3123


